r	∅	67
		ə-tə-ɾu-1ðoks+Masc	ə-tə-ɾu-1ðɔks	ə-tə-ɾu-1ðoks
		ʎə-βi-1ɣɾos+Masc	ʎə-βi-1ɣɾɔs	ʎə-βi-1ɣɾos
		ur-tu-1ðoks+Masc	ur-tu-1ðɔks	ur-tu-1ðoks
		kə-ɾə-1ɣɾos+Masc	kə-ɾə-1ɣɾɔs	kə-ɾə-1ɣɾos
		bəɾ-βə-1kloz+Masc	bəɾ-βə-1klɔs	bəɾ-βə-1klos
		rə-1ɣɾos+Masc	rə-1ɣɾɔs	rə-1ɣɾos
		kul-1ɣɾos+Masc	kul-1ɣɾɔs	kul-1ɣɾos
		1fo-fu+Fem	1fɔ-fə	1fo-fə
		1ɡod+Masc	1ɡɔt	1ɡot
		1kors+Masc	1kɔrs	1kors
∅	t	10
		iŋ-kun-1sult+Masc	iŋ-kun-1sul	iŋ-kun-1sult
		in-sə-1pult+Masc	in-sə-1pul	in-sə-1pult
		rə-1βɔlt+Masc	rə-1βɔl	rə-1βɔlt
		mə-1lalt+Masc	mə-1lal	mə-1lalt
		kə-1palt+Masc	kə-1pal	kə-1palt
		əz-1βɛlt+Masc	əz-1βɛl	əz-1βɛlt
		əm-1bɔlt+Masc	əm-1bɔl	əm-1bɔlt
		ə-1ðult+Masc	ə-1ðul	ə-1ðult
		1kald+Masc	1kal	1kalt
		1alt+Masc	1al	1alt
s	∅	10
		in-də-1fɛns+Masc	in-də-1fɛns	in-də-1fɛn
		i-pu-1tɛns+Masc	i-pu-1tɛns	i-pu-1tɛn
		i-pər-1tɛns+Masc	i-pər-1tɛns	i-pər-1tɛn
		pɾu-1pɛns+Masc	pɾu-1pɛns	pɾu-1pɛn
		im-1mɛns+Masc	im-1mɛns	im-1mɛn
		in-1tons+Masc	in-1tons	in-1ton
		in-1tɛns+Masc	in-1tɛns	in-1tɛn
		1iz-mik+Masc	1iz-miks	1iz-mik
		1mans+Masc	1mans	1man
		1dɛns+Masc	1dɛns	1dɛn
o	ɔ	8
		əs-ti-1ɔ-mən+Masc	əs-ti-1o-mən	əs-ti-1ɔ-mən
		pi-kə-1ʎɔz+Masc	pi-kə-1ʎos	pi-kə-1ʎɔs
		mu-1nɔ-ʒin+Masc	mo-nu-1ʒin	mu-1nɔ-ʒin
		iŋ-1kɔŋ-ɡɾu+Masc	iŋ-1koŋ-ɡɾu	iŋ-1kɔŋ-ɡɾu
		əŋ-1ɡɔst+Masc	əŋ-1ɡost	əŋ-1ɡɔst
		1pɾɔ-βə+Masc	1pɾo-βə	1pɾɔ-βə
		1ʒɔk+Masc	1ʒok	1ʒɔk
		1ɡɔɾd+Masc	1ɡort	1ɡɔrt
∅	j	7
		əks-tɾə-uɾ-ði-1naɾj+Masc	əks-tɾə-uɾ-ði-1na-ɾi	əks-tɾə-uɾ-ði-1naɾj
		pu-βli-si-1taɾj+Masc	pu-βli-si-1ta-ɾi	pu-βli-si-1taɾj
		u-mə-ni-1taɾj+Masc	u-mə-ni-1ta-ɾi	u-mə-ni-1taɾj
		i-ni-sjə-1tib+Masc	i-ni-si-ə-1tiuw	i-ni-sjə-1tiuw
		rə-li-1ʒjoz+Masc	rə-li-ʒi-1os	rə-li-1ʒjos
		ə-1zja-tik+Masc	ə-zi-1a-tik	ə-1zja-tik
		im-1pɾɔpj+Masc	im-1pɾɔ-pi	im-1pɾɔpj
w	∅	6
		kɔn-tɾə-lɛk-tɾu-mu1tɾiu+Fem	kɔn-tɾə-lɛk-tɾu-mu-1tɾiuw	kɔn-tɾə-lɛk-tɾu-mu1tɾiu-ə
		məɡ-nə-tu-mu1tɾiu+Fem	məɡ-nə-tu-mu-1tɾiuw	məɡ-nə-tu-mu1tɾiu-ə
		plə-nu-1kɔŋ-kəb+Masc	plə-nu-1kɔŋ-kəuw	plə-nu-1kɔŋ-kəp
		1ta-u-ɾi+Masc	1tauw-ɾi	1ta-u-ɾi
		1a-u-ɾi+Masc	1auw-ɾi	1a-u-ɾi
		tək1tɾiu+Fem	tək-1tɾiuw	tək1tɾiu-ə
n	∅	5
		turɡ-1man+Masc	turɡ-1man	turɡ-1ma
		pɾə-1ɣon+Masc	pɾə-1ɣon	pɾə-1ɣo
		1pɾon+Masc	1pɾon	1pɾo
		1bɔn+Masc	1bɔn	1bɔ
		1blan+Masc	1blan	1bla
e	ɛ	5
		sə-mu-1jɛ-ðə+Masc	sə-mu-1je-ðə	sə-mu-1jɛ-ðə
