ʒə-mi-ni-1floɾ+Masc	ʒə-mi-ni-1f-lo	ʒə-mi-ni-1flo
		
[Inflection][SonCorDeletion]		
UR	Predicted SR	Correct SR
kəɾ-βu-1ni-fəɾ+Masc	kəɾ-βu-1ni-fə	kəɾ-βu-1ni-fər
kər-1ni-βuɾ+Masc	kər-1ni-βu	kər-1ni-βur
kwə-ðɾi-mu-1toɾ+Masc	kwə-ðɾi-mu-1to	kwa-ðɾi-mu-1tor
kwə-ðɾi-1la-təɾ+Masc	kwə-ðɾi-1la-tə	kwə-ðɾi-1la-tər
ku-ɾə-1li-fəɾ+Masc	ku-ɾə-1li-fə	ku-ɾə-1li-fər
kur-pɾə-nə-1ðoɾ+Masc	kur-pɾə-nə-1ðo	kɔr-pɾə-nə-1ðo
im-mə-1tuɾ+Masc	im-mə-1tu	im-mə-1tur
im-fɾə-su-1noɾ+Masc	im-fɾə-su-1no	im-fɾə-su-1nor
im-fɾuk-1ti-fəɾ+Masc	im-fɾuk-1ti-fə	im-fɾuk-1ti-fər
im-1puɾ+Masc	im-1pu	im-1pur
i-pər-pɾe-ðə-1ðoɾ+Masc	i-pər-pɾe-ðə-1ðo	i-pər-pɾə-ðə-1ðo
i-nu-1ðoɾ+Masc	i-nu-1ðo	i-nu-1ðor
i-1βeɾ+Masc	i-1βe	i-1βer
iŋ-ku-1loɾ+Masc	iŋ-ku-1lo	iŋ-ku-1lor
in-sək-1ti-βuɾ+Masc	in-sək-1ti-βu	in-sək-1ti-βur
in-1nu-məɾ+Masc	in-1nu-mə	in-1nu-mər
il-lə-ɾi-1an+Masc	il-lə-ɾi-1a	hil-lə-ɾi-1a
mu-1toɾ+Masc	mu-1to	mu-1tor
mul-1ti-pəɾ+Masc	mul-1ti-pə	mul-1ti-pər
mal-1jan+Masc	mal-1ja	ma-li-1a
tɾi-mu-1toɾ+Masc	tɾi-mu-1to	tɾi-mu-1tor
turɡ-1man+Masc	turɡ-1ma	turɡ-1man
ə-fɾu-ə-mə-ɾi-1kan+Masc	ə-fɾu-ə-mə-ɾi-1ka	a-fɾwə-mə-ɾi-1ka
ə-ɾə-1ni-fəɾ+Masc	ə-ɾə-1ni-fə	ə-ɾə-1ni-fər
ə-lɛk-tɾu-mu-1toɾ+Masc	ə-lɛk-tɾu-mu-1to	ə-lɛk-tɾu-mu-1tor
ə-1kwi-fəɾ+Masc	ə-1kwi-fə	ə-1kwi-fər
ə-1fi-məɾ+Masc	ə-1fi-mə	ə-1fi-mər
ə-1nuɾ+Masc	ə-1nu	ə-1nur
ə-1li-fəɾ+Masc	ə-1li-fə	ə-1li-fər
ə-1βaɾ+Masc	ə-1βa	ə-1βar
ə-1ðul-təɾ+Masc	ə-1ðul-tə	ə-1ðul-tər
ə-βə-1jan+Masc	ə-βə-1ja	hə-βə-1ja
ə-e-1ɾi-fəɾ+Masc	ə-e-1ɾi-fə	ə-e-1ɾi-fər
əs-tu-ɾi-1an+Masc	əs-tu-ɾi-1a	əs-tu-1ɾja
əɾ-1βi-βuɾ+Masc	əɾ-1βi-βu	əɾ-1βi-βur
əuw-1ɾi-fəɾ+Masc	əuw-1ɾi-fə	əuw-1ɾi-fər
əuws-1teɾ+Masc	əuws-1te	əuws-1ter
ən-1teɾ+Masc	ən-1te	ən-1ter
fɾuk-1ti-fəɾ+Masc	fɾuk-1ti-fə	fɾuk-1ti-fər
fɾu-1ʒi-βuɾ+Masc	fɾu-1ʒi-βu	fɾu-1ʒi-βur
fu-1tuɾ+Masc	fu-1tu	fu-1tur
pə-tɾu-1li-fəɾ+Masc	pə-tɾu-1li-fə	pə-tɾu-1li-fər
pə-nə-mə-ɾi-1kan+Masc	pə-nə-mə-ɾi-1ka	pa-nə-mə-ɾi-1ka
pə-le-u-1sɛn+Masc	pə-le-u-1sɛ	pə-lə-u-1sɛ
pər-1ʒuɾ+Masc	pər-1ʒu	pər-1ʒur
psi-ku-mu-1toɾ+Masc	psi-ku-mu-1to	psi-ku-mu-1tor
pɾə-mə-1tuɾ+Masc	pɾə-mə-1tu	pɾə-mə-1tur
pɾə-1ɣon+Masc	pɾə-1ɣo	pɾə-1ɣon
pɾu-1li-fəɾ+Masc	pɾu-1li-fə	pɾu-1li-fər
pu-1li-məɾ+Masc	pu-1li-mə	pu-1li-mər
sə-kəs-pe-ə-ɾi-1an+Masc	sə-kəs-pe-ə-ɾi-1a	ʃəs-pi-ɾi-1a
sə-mi-1ni-fəɾ+Masc	sə-mi-1ni-fə	sə-mi-1ni-fər
sə-1βeɾ+Masc	sə-1βe	sə-1βer
sənd-ʒu-1an+Masc	sənd-ʒu-1a	sənd-ʒu-1an
səd-mə-1zon+Masc	səd-mə-1zo	sɛd-mə-1zo
sum-1ni-fəɾ+Masc	sum-1ni-fə	sum-1ni-fər
su-pu-1ɾi-fəɾ+Masc	su-pu-1ɾi-fə	su-pu-1ɾi-fər
su-1noɾ+Masc	su-1no	su-1nor
ɡəl-tə-1plɛn+Masc	ɡəl-tə-1plɛ	ɡal-tə-1plɛ
um-1ni-βuɾ+Masc	um-1ni-βu	um-1ni-βur
u-1mi-fəɾ+Masc	u-1mi-fə	u-1mi-fər
u-1βi-fəɾ+Masc	u-1βi-fə	u-1βi-fər
ups-1kuɾ+Masc	ups-1ku	ups-1kur
ul-tɾə-su-1noɾ+Masc	ul-tɾə-su-1no	ul-tɾə-su-1nor
ni-əss-t͡ʃi-1an+Masc	ni-əss-t͡ʃi-1a	nit-ʃi-1a
nɛuw-ɾu-mu-1toɾ+Masc	nɛuw-ɾu-mu-1to	nɛuw-ɾu-mu-1tor
auw-tu-mu-1toɾ+Masc	auw-tu-mu-1to	auw-tu-mu-1tor
an-ti-su-1noɾ+Masc	an-ti-su-1no	an-ti-su-1nor
1ka-təɾ+Masc	1ka-tə	1ka-tər
1kaɾ+Masc	1ka	1kar
1mi-zəɾ+Masc	1mi-zə	1mi-zər
1meɾ+Masc	1me	1mer
1tar-təɾ+Masc	1tar-tə	1tar-tər
1pɾɔs-pəɾ+Masc	1pɾɔs-pə	1pɾɔs-pər
1pɾon+Masc	1pɾo	1pɾon
1puɾ+Masc	1pu	1pur
1su-pəɾ+Masc	1su-pə	1su-pər
